make,model,category,year,interval_miles,interval_months,service_category,description
Honda,Accord,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Honda,Accord,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Honda,Accord,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,CR-V,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Honda,CR-V,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,CR-V,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,CR-V,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,CR-V,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Honda,CR-V,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,CR-V,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,CR-V,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,CR-V,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Honda,CR-V,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,CR-V,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,CR-V,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,CR-V,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Honda,CR-V,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,CR-V,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,CR-V,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,CR-V,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Honda,CR-V,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,CR-V,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,CR-V,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord Touring,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Honda,Accord Touring,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord Touring,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord Touring,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord Touring,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Honda,Accord Touring,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord Touring,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord Touring,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord Touring,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Honda,Accord Touring,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord Touring,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord Touring,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord Touring,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Honda,Accord Touring,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord Touring,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord Touring,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord Touring,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Honda,Accord Touring,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord Touring,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord Touring,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Civic Type R,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Honda,Civic Type R,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Civic Type R,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Civic Type R,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Civic Type R,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Honda,Civic Type R,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Civic Type R,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Civic Type R,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Civic Type R,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Honda,Civic Type R,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Civic Type R,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Civic Type R,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Civic Type R,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Honda,Civic Type R,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Civic Type R,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Civic Type R,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Civic Type R,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Honda,Civic Type R,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Civic Type R,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Civic Type R,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Fusion,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Ford,Fusion,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Fusion,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Fusion,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Fusion,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Ford,Fusion,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Fusion,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Fusion,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Fusion,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Ford,Fusion,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Fusion,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Fusion,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Fusion,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Ford,Fusion,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Fusion,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Fusion,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Fusion,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Ford,Fusion,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Fusion,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Fusion,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Escape,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Ford,Escape,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Escape,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Escape,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Escape,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Ford,Escape,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Escape,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Escape,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Escape,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Ford,Escape,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Escape,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Escape,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Escape,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Ford,Escape,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Escape,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Escape,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Escape,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Ford,Escape,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Escape,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Escape,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Taurus,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Ford,Taurus,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Taurus,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Taurus,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Taurus,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Ford,Taurus,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Taurus,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Taurus,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Taurus,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Ford,Taurus,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Taurus,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Taurus,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Taurus,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Ford,Taurus,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Taurus,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Taurus,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Taurus,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Ford,Taurus,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Taurus,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Taurus,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Mustang,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Ford,Mustang,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Mustang,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Mustang,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Mustang,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Ford,Mustang,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Mustang,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Mustang,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Mustang,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Ford,Mustang,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Mustang,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Mustang,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Mustang,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Ford,Mustang,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Mustang,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Mustang,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Ford,Mustang,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Ford,Mustang,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Ford,Mustang,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Ford,Mustang,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Malibu,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Malibu,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Malibu,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Malibu,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Malibu,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Malibu,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Malibu,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Malibu,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Malibu,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Malibu,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Malibu,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Malibu,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Malibu,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Malibu,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Malibu,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Malibu,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Malibu,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Malibu,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Malibu,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Malibu,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Equinox,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Equinox,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Equinox,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Equinox,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Equinox,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Equinox,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Equinox,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Equinox,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Equinox,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Equinox,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Equinox,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Equinox,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Equinox,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Equinox,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Equinox,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Equinox,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Equinox,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Equinox,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Equinox,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Equinox,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Impala,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Impala,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Impala,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Impala,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Impala,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Impala,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Impala,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Impala,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Impala,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Impala,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Impala,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Impala,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Impala,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Impala,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Impala,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Impala,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Impala,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Impala,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Impala,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Impala,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Camaro,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Camaro,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Camaro,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Camaro,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Camaro,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Camaro,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Camaro,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Camaro,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Camaro,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Camaro,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Camaro,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Camaro,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Camaro,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Camaro,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Camaro,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Camaro,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Chevrolet,Camaro,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Chevrolet,Camaro,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Chevrolet,Camaro,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Chevrolet,Camaro,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Nissan,Altima,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Nissan,Altima,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
